,B cells->B cells->B cells[0_0],B cells->B cells->B cells[0_1],B cells->B cells->B cells[0_2],B cells->B cells->B cells[0_3],B cells->B cells->B cells[0_4],B cells->B cells->B cells[0_5],NK->NK->NK[1_0],NK->NK->NK[1_1]
0,RPLP0,ZFP36L1,OASL,S100A12,PPP2R5C,SRGN,ZFP36L1,SRGN
1,NAP1L1,CRYBG1,PREP,LYPLAL1,ARID5B,AL138963.4,AC245014.3,RPS20
2,GIMAP7,GNPTAB,MAP3K8,PRF1,S100A8,TUBA1A,SAP30,ASAH1
3,CD27-AS1,MAX,CD69,TAGLN2,TACC3,PPIF,DAB2,CD27
4,GNAI2,ID2,IL1RN,HIST1H3H,ARHGAP15,RNF144B,GSN,TP53INP1
5,CLEC7A,OTUD1,TNFAIP3,CPVL,TUBA1C,ERV3-1,AC239799.2,RPL30
6,MPEG1,DYNLL1,ASPH,RPS27A,PELI1,HK2,FKBP11,CALM2
7,PLXDC2,LRRFIP1,RECK,CALM1,CCND3,NFKBIZ,HLA-DMB,CD58
8,LDHB,CHD7,PHLDA2,RPS23,C1orf162,ADM,KLF10,MAX
9,HLA-DMB,ETV6,HCAR3,VSIR,HIST1H1D,TLE1,ACRBP,CALM1
10,CLEC12A,CLEC2D,ZBTB16,TSC22D1,SPOCK2,TC2N,CD163,C9orf72
11,SLC8A1,CD38,PLBD1,RAC1,HIF1A,TIPARP,S100A11,PNP
12,HLA-DPA1,RGS2,AL451165.2,ATG4B,CCZ1,HIST1H1E,SYNE2,RTN1
13,PABPC1,SARAF,KLF6,NRG1,JDP2,FOS,TDRD3,GZMA
14,RPS18,FABP5,QTRT2,ATP6V0B,LDLRAP1,IRF2BP2,ARRB1,PABPC1
15,SYNE2,HSP90AB1,HIST2H2BF,PDE3B,TXNDC5,SPON2,HLA-DOB,GAPDH
16,PILRA,ODC1,PRDM1,PSAP,CARD11,PRKAR1B,SERPINA1,GPR183
17,HLA-DOB,SEL1L3,BACH2,CAVIN2,MTURN,TNF,B3GNT5,SPOCK2
18,CORO1C,STX11,AC016831.5,ARHGAP18,H2AFY,IER5,PSAP,BCL11B
19,CCNG1,VIM,AC007384.1,TLK1,DDX23,SLC2A3,AC084871.1,CCNG1
20,MAL,SYTL3,S100P,FOXP1,FCGR2A,RAB20,JDP2,NPC2
21,ARHGDIB,DUSP6,RNASE6,CD52,WDFY4,RGCC,RELA-DT,CHD7
22,CD3E,BTG1,,VCL,LY9,HIST1H1C,P2RY13,EVL
23,GBP5,YBX3,,HIST1H2AC,DDIT4,HIST2H2BE,TNFAIP2,PPP3CC
24,CD9,RHOA,,BCL11A,DENND5A,EGR3,ALDH2,CRIP1
25,NCF2,EZR,,SH2D2A,PLEKHO1,TPST1,ALDH1A1,LIMS1
26,H3F3A,ADAM19,,LRRC8D,RUNX3,,C12orf76,FABP5
27,GNB2,CHPT1,,RPS14,SLC38A1,,DGAT2,CD74
28,PRKCQ-AS1,SYNE1,,MS4A1,RPS27,,AP3M2,ELMOD3
29,C12orf76,KIAA1586,,HSPA6,PLEK,,PLAC8,ZBTB16
30,LYN,HSP90B1,,NCR3,HIST1H2AG,,CD6,GZMB
31,GATA3,UPP1,,RPL32,OXNAD1,,ATM,TRIB1
32,RPSA,,,CALHM6,ADAM28,,SMIM3,NPM1
33,CYFIP2,,,EIF2AK1,HLA-DQB1,,TXK,PDE4D
34,JARID2,,,WARS,,,UBC,GNG2
35,TLN1,,,HIST1H2BK,,,RNASE6,CEP78
36,KIF13A,,,CBLB,,,PGD,RPS14
37,IL1B,,,ZEB2,,,PTMS,TM6SF1
38,HLA-DPB1,,,RNF130,,,,RPL27A
39,CDKN1C,,,RPL22,,,,ETFA
40,SPI1,,,PTMS,,,,ARHGAP26
41,HLA-DMA,,,,,,,GSTO1
42,SLC11A1,,,,,,,CTSW
43,EEF1A1,,,,,,,CTSH
44,HES4,,,,,,,WARS
45,CD3G,,,,,,,LDHA
46,APLP2,,,,,,,LRP1
47,AC147067.1,,,,,,,ACTN1
48,LCP1,,,,,,,MIR4435-2HG
49,IER3,,,,,,,CTSB
50,VCAN,,,,,,,BTBD6
51,HIST1H1B,,,,,,,S100P
52,CD5,,,,,,,PLPP5
53,AIF1,,,,,,,MLH3
54,ENO1,,,,,,,SLC24A4
55,P2RY13,,,,,,,CYB5R1
56,ACTB,,,,,,,
57,MEF2C,,,,,,,
58,CD302,,,,,,,
59,S100A4,,,,,,,
60,LST1,,,,,,,
61,ANXA1,,,,,,,
62,F11R,,,,,,,
63,CD6,,,,,,,
64,RBP7,,,,,,,
65,S100A6,,,,,,,
66,TNFAIP6,,,,,,,
67,TXK,,,,,,,
68,UQCRHL,,,,,,,
69,LEF1,,,,,,,
