Key,T1,T2,T3,T4
0_0,0.4452834,0.6541745,0.38319853,0.36841717
0_1,0.402111,0.4548703,0.56856084,0.5124706
0_2,0.37628078,0.27132192,0.63107145,0.5869343
0_3,0.5468651,0.42011312,0.41352025,0.5785782
1_0,0.31531247,0.45711476,0.5816027,0.5610475
1_1,0.74188465,0.4813989,0.24853225,0.14440641
1_2,0.5549963,0.50929606,0.428745,0.45459598
1_3,0.28070864,0.6874973,0.3643644,0.508869
1_4,0.44245774,0.55704796,0.4268939,0.53507686
1_5,0.49221668,0.6820501,0.40642437,0.29218203
1_6,0.6313186,0.29577675,0.47932142,0.46737257
3_0,0.77770495,0.31255627,0.30033064,0.3741618
3_1,0.50631815,0.36539885,0.48636785,0.5277746
3_2,0.30282596,0.57002044,0.42993268,0.56875664
3_3,0.40234625,0.63727844,0.42237955,0.48075336
3_4,0.31641468,0.4292332,0.6703113,0.47328153
3_5,0.18292335,0.7335096,0.4103884,0.43522412
3_6,0.45455608,0.43399152,0.4480655,0.60880363
4_0,0.3939124,0.27453458,0.478876,0.7161547
4_1,0.48703828,0.42502108,0.5658553,0.47364205
4_2,0.48480088,0.5846909,0.40480587,0.48635063
4_3,0.28878433,0.51379335,0.48063454,0.61149794
4_4,0.37240276,0.68992186,0.39162338,0.46600276
4_5,0.6770813,0.34105784,0.29062468,0.48415858
