,B cells->B cells->B cells->B cells[0_0],B cells->B cells->B cells->B cells[0_2],CD14+Mono->CD14+Mono->CD14+Mono->CD14+Mono[1_0],CD14+Mono->CD14+Mono->CD14+Mono->CD14+Mono[1_1],CD14+Mono->CD14+Mono->CD14+Mono->CD14+Mono[1_3],CD14+Mono->CD14+Mono->CD14+Mono->CD14+Mono[1_5],CD14+Mono->CD14+Mono->CD14+Mono->CD14+Mono[1_6],CD8+T->NK->NK->NK[3_0],CD8+T->NK->NK->NK[3_2],CD8+T->NK->NK->NK[3_3],CD8+T->NK->NK->NK[3_4],CD8+T->NK->NK->NK[3_5],NK->NK->NK->NK[4_0],NK->NK->NK->NK[4_3],NK->NK->NK->NK[4_4],NK->NK->NK->NK[4_5]
0,CAPG,MCEMP1,JDP2,SPIB,RNF125,FABP5,AC007384.1,BCL11B,NFKBID,AL451165.2,SNX9,CD14,SNX9,SYNGR1,RGS3,OSM
1,LAIR2,EREG,EIF3K,IFITM3,RGS3,RGS1,AOAH,Z93241.1,THBD,RIPOR2,LEF1,JDP2,CTSL,MAFB,RIPOR2,HSP90B1
2,BLNK,LILRA5,VIM,WARS,LCP1,OTUD1,AC007952.4,CLEC2D,IGF1R,MCUR1,TREM1,SYNGR1,PNRC1,GP1BB,BCL2L1,TNFAIP2
3,RAC2,BRI3,MSANTD3,SYNE2,BCL7A,HVCN1,NELL2,MYC,ANPEP,TPST2,JCHAIN,RGS3,RELT,EIF4A1,FYB1,Z93241.1
4,LYL1,FCN1,NET1,PRDM1,BLVRB,LGALS9,CD19,CD3D,MAFB,ZNF318,NCALD,CLIC1,HIF1A,TMIGD2,CLIC1,CD22
5,TPST2,RASGRP1,ANXA1,TXK,SVIP,ZAP70,ANKRD9,LTB,TRBC2,CD58,DUS4L,TMIGD2,METRNL,NEIL1,ZNF318,HSPA5
6,ZAP70,MYADM,RPS27A,PALM2-AKAP2,APBA2,TRMT10B,BANK1,CXCR5,GP1BB,MOB1B,TMEM168,MARCKS,TREM1,RPS18,CD40,CSKMT
7,KLRF1,CSGALNACT1,TKT,EVL,OSBPL10,ZBTB2,CD22,CD6,MYL6,ADGRG1,AGPAT5,PRF1,ICAM1,RPL18A,CLEC2D,IFNGR2
8,CD24,TMEM170B,HIF1A,HLA-DOB,NUTF2,BTBD6,BAG3,CCR7,MTURN,ABHD17A,PLAUR,TRDC,AUTS2,LIME1,CD79B,IER2
9,KLRC4,,ELF1,HLA-DMB,CFL1,PTGDS,HLA-DQB1,SECTM1,EIF4A1,AOAH,CD36,CHST2,CITED2,FAM110A,INF2,LINC00926
10,GK5,,NOP10,PRKCQ-AS1,PLAUR,,HLA-DMA,TUBA1C,BCL2L1,TMEM91,STRBP,HLA-DOB,FXYD7,MMD,CTSA,TNFRSF13C
11,TLK1,,AC015912.3,MYBL1,SERF2,,GPR183,STAG3,FYB1,NPC2,LRRC25,MEF2C,MYC,SLC39A3,PECAM1,TCF4
12,MICAL3,,C5AR1,PRR5L,AC131971.1,,FXYD7,RNASE2,GGA3,LIMS1,ARHGEF12,ARHGAP18,PPP1R16B,ADM,ARPC1B,CCL3
13,MARCH2,,RPS19,LY6E,CALM1,,TNFAIP2,OSM,KIR3DL2,ARPC1B,,,IER3,LILRA5,GZMA,IFNG
14,KIFAP3,,EVI2B,TRAC,PNMA1,,,HSPA1B,NEIL1,LINC00926,,,SMAD7,CD7,TMEM107,AC011446.2
15,MT1X,,RNASE6,,TALDO1,,,ANK3,KIF21A,MEI1,,,FOSB,RPL3,ARHGAP18,TUBA1A
16,SEPTIN1,,AL138963.4,,,,,ARID5B,ACTB,VSIR,,,BCL3,MATK,,
17,MIF,,EMP3,,,,,AMD1,CD40,EVL,,,ID1,NCR1,,
18,ZNF385A,,PLXDC2,,,,,TRAF1,FAM110A,LRRC8D,,,ANKRD9,HCK,,
19,TDRD3,,MAP1LC3B,,,,,BTG2,LIME1,TMEM107,,,CGRRF1,TOX,,
20,HHEX,,FCGRT,,,,,CD83,MMD,HVCN1,,,PLEKHO1,LIMS1,,
21,TXNIP,,TBPL1,,,,,CARMIL1,ADM,,,,IRF8,TXNDC5,,
22,FYN,,PLIN2,,,,,CD22,ICAM1,,,,,SNAP23,,
23,ITGAL,,FTL,,,,,CITED2,SYNE2,,,,,ARHGDIB,,
24,,,LRRC14,,,,,LAG3,LILRA5,,,,,LTB,,
25,,,AFF3,,,,,IER2,C12orf75,,,,,AGPAT1,,
26,,,RPL30,,,,,MIAT,NOP10,,,,,RPS5,,
27,,,RHOC,,,,,CD79A,HSPB1,,,,,ITGAX,,
28,,,C12orf75,,,,,ATF3,MIF,,,,,FLT3LG,,
29,,,ARPC3,,,,,PDE3B,CD7,,,,,C12orf57,,
30,,,ASPH,,,,,TNFRSF13C,NKG7,,,,,BRI3,,
31,,,JCHAIN,,,,,FOSB,CYB5R1,,,,,ATP6V0A1,,
32,,,SEPTIN1,,,,,DMXL2,CD79B,,,,,MYL9,,
33,,,PABPC1,,,,,FKBP11,KIR2DL3,,,,,TUBB1,,
34,,,PLD3,,,,,AC136475.3,INF2,,,,,HLA-DQB1,,
35,,,THBS1,,,,,JUND,NCR1,,,,,P2RX1,,
36,,,PPP2R5C,,,,,HSPA1A,HAUS5,,,,,PKIG,,
37,,,FOXP1,,,,,IFNG,MAP3K7CL,,,,,,,
38,,,CORO1C,,,,,JUN,CTSA,,,,,,,
39,,,ZFAND1,,,,,IFITM1,IFNGR2,,,,,,,
40,,,H3F3A,,,,,AC011446.2,TOX,,,,,,,
41,,,ALDH2,,,,,TUBA1A,HCST,,,,,,,
42,,,GNB2,,,,,,TXNDC5,,,,,,,
43,,,BTG1,,,,,,SNAP23,,,,,,,
44,,,RPL27A,,,,,,LAIR2,,,,,,,
45,,,KIF21A,,,,,,LILRB2,,,,,,,
46,,,RPL18A,,,,,,SEPTIN11,,,,,,,
47,,,PNP,,,,,,JAKMIP2,,,,,,,
48,,,CHPT1,,,,,,LRP1,,,,,,,
49,,,,,,,,,GZMA,,,,,,,
50,,,,,,,,,NT5C3A,,,,,,,
51,,,,,,,,,GZMH,,,,,,,
52,,,,,,,,,TMEM170B,,,,,,,
53,,,,,,,,,ITGAX,,,,,,,
54,,,,,,,,,UXS1,,,,,,,
55,,,,,,,,,FLT3LG,,,,,,,
56,,,,,,,,,AC092821.3,,,,,,,
57,,,,,,,,,MYL9,,,,,,,
58,,,,,,,,,TUBB1,,,,,,,
59,,,,,,,,,MYO1E,,,,,,,
60,,,,,,,,,PRAM1,,,,,,,
61,,,,,,,,,P2RX1,,,,,,,
62,,,,,,,,,CST7,,,,,,,
63,,,,,,,,,RGS9,,,,,,,
64,,,,,,,,,PKIG,,,,,,,
65,,,,,,,,,IRF8,,,,,,,
66,,,,,,,,,TP53INP1,,,,,,,
67,,,,,,,,,TALDO1,,,,,,,
