,CD14+Mono->CD14+Mono->CD14+Mono[0_0],CD14+Mono->CD14+Mono->CD14+Mono[0_1],CD14+Mono->CD14+Mono->CD14+Mono[0_2],CD14+Mono->CD14+Mono->CD14+Mono[0_4],CD14+Mono->CD14+Mono->CD14+Mono[0_7],CD14+Mono->CD14+Mono->CD14+Mono[0_9],CD14+Mono->CD14+Mono->CD14+Mono[0_12],CD4+T->CD4+T->CD4+T[1_1],CD4+T->CD4+T->CD4+T[1_2],CD4+T->CD4+T->CD4+T[1_3]
0,COL6A2,IKZF3,IL32,RPS4X,CXCL8,CCL3L1,C2orf88,PPP2R5C,AL627171.2,MS4A6A
1,IRF4,GIMAP7,CD69,RPLP0,IER3,ZFP36L1,TSC22D1,MPST,OASL,MAP3K8
2,HIP1R,CD247,IL7R,RPL4,ASPH,EIF2AK3,YWHAH,TIMP2,GCN1,TSPAN33
3,RBM38,KLRF1,CRYBG1,CSTA,BASP1,MAP3K8,EIF2AK1,CD96,APOBEC3A,ARID5B
4,RGS1,PYHIN1,GZMH,RPL36A,ADM,ANPEP,CRBN,TSPO,KIR2DL3,ARHGAP21
5,CD5,TUBA1A,GNPTAB,RPS20,CHD7,MT-ND4L,HIST1H2BJ,SMIM25,DDIT3,PRF1
6,PDE3B,FGFBP2,FCMR,RPL18A,TPM4,AC103591.3,RUFY1,SYNGR1,ZBP1,COL6A2
7,TTC38,IRF1,C1orf21,RPL5,IL1R1,LHFPL2,TSPAN33,RPL3,ADGRG1,IL4R
8,TRABD2A,RORA,CD96,RPL30,C5AR1,MT-ND6,RGS18,HLA-DRB1,PTPRE,RBM38
9,EVL,LLGL2,ETS1,HLA-DMB,PHLDA1,MT-ATP6,GRAP2,BCL11B,IFITM3,CD5
10,TENT5C,PRF1,KLRK1,RPS26,ZNF331,MT-ND4,RAB27B,ABLIM1,SECTM1,C9orf72
11,PPP3CC,KLRC4,NFATC2,RPL26,JARID2,MT-ND5,GP9,EVL,WARS,BCL2L1
12,SMAD7,CST7,GZMA,SNHG29,IL1B,MT-ND3,RAP1B,ITGB1,GZF1,C2orf88
13,TRAT1,EOMES,SYNE2,CPVL,SPHK1,MT-CYB,TUBB1,HLA-DRB5,HILPDA,SYNE2
14,CD7,KIR2DL3,YES1,RPS27A,EREG,PDE4B,HIST1H3H,STMN1,HES4,GP1BB
15,PDE4D,IFNG,SLC15A4,RPS23,MTSS1,PNP,TRIM58,ZYX,CD93,RAC1
16,DDX23,FKBP11,KLRB1,POLR2L,CXCL2,MT-CO2,PDLIM1,AQP9,SAT1,MAF
17,CYFIP2,CLIC3,TLE5,TSPO,SPRY2,MARCKS,AP000547.3,SEPTIN1,,PTPN18
18,RNF125,HSH2D,RHOH,PABPC1,NFKBIA,PHACTR1,CMTM5,ACAP1,,GNG11
19,SYTL3,CD2,LINC00861,RPS3,NLRP3,ATP2B1-AS1,LAT,SLC25A39,,THBS1
20,PRDM1,PPP1R16B,SAMD3,RPL3,CXCL3,MT-ND2,,ACTG1,,PLEC
21,PTGDS,LAG3,TCF7,SLC25A6,MPP1,B3GNT5,,C12orf75,,ITGAX
