,B cells->B cells->B cells->B cells[0_1],B cells->B cells->B cells->B cells[0_3],B cells->B cells->B cells->B cells[0_4],B cells->B cells->B cells->B cells[0_5],B cells->B cells->B cells->B cells[0_6],B cells->B cells->B cells->B cells[0_7],B cells->B cells->B cells->B cells[0_9],B cells->B cells->B cells->B cells[0_10],CD14+Mono->CD14+Mono->CD14+Mono->CD14+Mono[1_0],CD14+Mono->CD14+Mono->CD14+Mono->CD14+Mono[1_1],CD14+Mono->CD14+Mono->CD14+Mono->CD14+Mono[1_4],CD14+Mono->CD14+Mono->CD14+Mono->CD14+Mono[1_5],CD4+T->CD4+T->CD4+T->CD4+T[2_1],CD4+T->CD4+T->CD4+T->CD4+T[2_2],CD4+T->CD4+T->CD4+T->CD4+T[2_5],CD8+T->CD8+T->NK->NK[3_0],CD8+T->CD8+T->NK->NK[3_2],CD8+T->CD8+T->NK->NK[3_3],CD8+T->CD8+T->CD8+T->CD8+T[4_0],CD8+T->CD8+T->CD8+T->CD8+T[4_2],cDCs->cDCs->cDCs->cDCs[6_0],cDCs->cDCs->cDCs->cDCs[6_2],cDCs->cDCs->cDCs->cDCs[6_3],cDCs->cDCs->cDCs->cDCs[6_5],cDCs->cDCs->cDCs->cDCs[6_6],cDCs->cDCs->cDCs->cDCs[6_7],cDCs->cDCs->cDCs->cDCs[6_8],cDCs->cDCs->cDCs->cDCs[6_9],cDCs->cDCs->cDCs->cDCs[6_10]
0,CCL3L1,PREP,AQP9,OASL,FTO,IRF8,RPS4X,TSPO,BTF3,HLA-DQA1,LDLRAP1,VEGFA,IL2RB,SLC39A3,CSKMT,STX7,TSPO,HSD17B8,HIST1H1D,PLK3,NDE1,KLRD1,NFKBID,SESN1,CIITA,TREML1,IGHD,TNFSF13B,TMEM64
1,RUBCNL,MARCH1,GADD45A,NINJ1,HSPE1,CCNL1,SYNGR1,MT-ATP8,MALAT1,GAS2L1,IGHD,C12orf57,MAP3K8,ANXA2,CD14,HOPX,MALAT1,NAPSA,CXCL8,PHACTR1,BTG1,CCL5,BTF3,DAAM1,GABPB1-AS1,HIST1H1B,TRAC,RPLP0,FTO
2,PPBP,FGR,GABPB1-AS1,ICAM1,CD96,EREG,MT-CO2,AL034397.3,METRNL,UTS2,ITPR1,HIST1H1C,MYADM,RXRA,ZSWIM6,MIDN,ID1,RPLP0,HIST1H2BJ,TRAF4,RIC3,RAB37,SRGN,CCR6,SLC25A37,UBXN7,SIT1,NCK2,TDRD3
3,TM2D2,CD22,SRGN,SERPINA1,IRAK3,GIMAP7,RPL10,CYBB,KLRD1,IGSF6,LRRC8D,CD7,ARHGAP18,TTC16,CCNG1,ADGRG1,SPOCK2,LMNA,GAS2L1,SLC9A7,LBH,OSBPL5,GPX4,ISG20,PIP4P2,TIGIT,B3GNT5,RUBCNL,RGP1
4,FGFBP2,DAAM1,PHACTR1,SAV1,GADD45G,ERV3-1,IL2RG,MAGED2,P2RX1,HLA-DRB5,FAM13A,TRAC,HIST1H1E,MTFMT,HIST1H2BK,SLC40A1,GPX4,GPR183,NLRP3,MIR222HG,IER5L,CD3G,C12orf57,RSPRY1,DNMBP,HHEX,CAVIN2,TPM1,QTRT2
5,EMILIN2,MAF,FOSL2,CDK2AP1,MTMR11,CDA,RPL3,RAC2,ATP2B1-AS1,ZNF296,SYTL2,HIST1H2AG,GADD45B,HLA-DMB,RBM3,DYNLL1,AL451165.2,HABP4,C12orf75,SETD7,CD160,THEMIS,ARID5B,CRYBG1,MAPRE2,COQ2,PLIN2,TNIK,RGCC
6,MYC,ACTB,PRAM1,STOM,RAB27B,PSTPIP2,SLC25A6,AP1S2,CLEC7A,HLA-DQB1,FCGR3A,RBM38,HSPA5,FCN1,QTRT2,BCL11A,TRAF4,GP1BB,PDK1,PARVB,CD6,ETS1,RORA,HIF1A,CEBPD,RNASE2,P2RY13,HIP1R,DENND5A
7,JUND,NCF2,ID3,RAB32,TLE1,CRIP2,MPST,PCSK1N,ATG4B,CLEC12A,RIOX2,AC239799.2,,FAM110A,,YWHAH,RSPRY1,FCGRT,HIST1H2BF,HIST1H2AE,P2RX1,F2R,KLRC4,TSTD1,C12orf75,TRDC,PYCR2,BHLHE40,HIST1H2AG
8,PLXDC2,SPON2,MCOLN2,LYN,MYOM2,TGFBI,MT-ND2,LDOC1,JAKMIP2,PPP2R2B,,SEPTIN11,,CFP,,CFD,SLC9A7,MIAT,HIST1H2AG,MID1IP1,MS4A6A,KLRK1,MYBL1,CCND3,AC008875.3,DMTN,CXCL2,PELI1,NIBAN2
9,OTUD1,LRRC25,BCL11B,GSN,ZBTB38,PLBD1,MT-CO1,TYMP,PIK3IP1,LYL1,,RELT,,,,LGALS9,PHLDA1,PIK3IP1,HIST2H2BE,AC007384.1,P2RX5,PRR5L,KIF2A,SLC38A1,CXCL16,SNCA,BACH2,PABPC1,ABCA1
10,RTN1,PLD4,GCN1,JARID2,ZFP36L2,TMEM176B,GRAP2,TMSB4X,ANPEP,KCNA3,,PRSS23,,,,GZMM,OSM,PARVB,HIST1H1E,TMIGD2,HSPA8,SKAP1,CD72,THBS1,IL4R,SLC7A7,RNASE6,GPR183,
11,NPC1,MS4A7,RGS10,,ZBTB16,TUBA1A,SLC9A7,PDZD4,PARVB,,,,,,,MPST,MT1X,PF4,HIST1H2AC,ENC1,MCTP2,PRSS23,CMIP,WDR27,RPL27A,UPP1,,RCBTB1,
12,IFIT2,NOP10,SOX4,,KCTD12,SNHG14,MT-ND1,CFP,ITK,,,,,,,ZNF516,CAVIN2,SLC38A1,CD22,ATF3,LINC00299,SEMA6B,RGS3,ADAM28,SNHG29,,,R3HDM4,
13,HIF1A,IGSF6,CCR7,,TMEM107,AC007384.1,MT-ND4L,LGALS1,PID1,,,,,,,GAS2L1,COL6A2,AC007384.1,IKZF2,MXRA7,CORO1C,LEF1,PPP3CC,KLF6,IMPA2,,,RCAN3,
14,LINC00861,PLPP5,PRKCQ-AS1,,KLF4,RASGRP1,MEI1,CD40LG,PMAIP1,,,,,,,CD226,RASGRP1,ENC1,,TTN,ATP6V0B,,COTL1,B4GALT7,C9orf72,,,ELF1,
15,CAVIN2,,HIST2H2BE,,ACTN1,MZB1,CD99,LGALS2,UBC,,,,,,,TPST2,APOBEC3A,DNAJB1,,SAT1,PDE3B,,SEPTIN11,PRKCH,SNN,,,CD74,
16,CCL3,,JUNB,,OXNAD1,HNRNPA1,MPP1,UBL4A,MMD,,,,,,,JAKMIP2,PLPP5,LEPROTL1,,JARID2,RXRA,,RELA-DT,AC131971.1,PTPRE,,,RPL32,
17,CMIP,,HIST2H2BF,,RNASE6,TPM4,SCO2,,FTL,,,,,,,APBA2,SAT1,FTL,,RBM3,TP53INP1,,HLA-DQB1,DOCK5,LITAF,,,DDIT4,
18,SARAF,,ZBTB48,,,P2RY13,MID1IP1,,CD22,,,,,,,RAB27B,F2R,FLT3LG,,F2R,IGSF6,,RPL26,LRRFIP1,SWAP70,,,PNRC1,
19,SNN,,,,,TUBA1C,HMOX1,,SATB1,,,,,,,GP9,PCED1B-AS1,LIMS1,,SARAF,KIFAP3,,TLN1,CD2,,,,LINC00926,
20,CLU,,,,,DTHD1,MT-CO3,,,,,,,,,MIF,FOXP1,,,MOB1B,BTBD6,,,,,,,UBC,
21,NFKBID,,,,,IKZF2,MT-ATP6,,,,,,,,,DIP2A,GGA3,,,H1F0,DAB2,,,,,,,,
22,ZFAND5,,,,,,MT-ND4,,,,,,,,,HMOX1,MOB1B,,,,SOCS1,,,,,,,,
23,PBX4,,,,,,MT-ND5,,,,,,,,,IGHM,MXRA7,,,,FGR,,,,,,,,
24,LGALS3,,,,,,MT-ND3,,,,,,,,,NOSIP,,,,,MS4A7,,,,,,,,
25,LEPROTL1,,,,,,MT-CYB,,,,,,,,,ACTB,,,,,VCL,,,,,,,,
26,CEMIP2,,,,,,LONRF3,,,,,,,,,ZBP1,,,,,SERPINB1,,,,,,,,
27,SYTL3,,,,,,CXCR3,,,,,,,,,CD37,,,,,DUSP6,,,,,,,,
28,PYGL,,,,,,,,,,,,,,,JCHAIN,,,,,HIST1H2BJ,,,,,,,,
29,ACSL1,,,,,,,,,,,,,,,IGFBP7,,,,,TSPAN33,,,,,,,,
30,P2RX1,,,,,,,,,,,,,,,,,,,,ANPEP,,,,,,,,
31,CCL4,,,,,,,,,,,,,,,,,,,,SLC40A1,,,,,,,,
32,TRDC,,,,,,,,,,,,,,,,,,,,CD68,,,,,,,,
33,AKR1C3,,,,,,,,,,,,,,,,,,,,KLF12,,,,,,,,
34,HSP90AA1,,,,,,,,,,,,,,,,,,,,ITPR1,,,,,,,,
35,PMAIP1,,,,,,,,,,,,,,,,,,,,ATP2B1-AS1,,,,,,,,
36,ABCA1,,,,,,,,,,,,,,,,,,,,CDKN1A,,,,,,,,
37,FHL1,,,,,,,,,,,,,,,,,,,,PDCD10,,,,,,,,
38,TSPYL2,,,,,,,,,,,,,,,,,,,,IL6ST,,,,,,,,
39,YWHAH,,,,,,,,,,,,,,,,,,,,MFSD1,,,,,,,,
40,RPL36A,,,,,,,,,,,,,,,,,,,,PF4,,,,,,,,
41,GLA,,,,,,,,,,,,,,,,,,,,RGS10,,,,,,,,
42,IL2RB,,,,,,,,,,,,,,,,,,,,ARPC1B,,,,,,,,
43,MYH9,,,,,,,,,,,,,,,,,,,,ITM2B,,,,,,,,
44,ODF3B,,,,,,,,,,,,,,,,,,,,OAZ1,,,,,,,,
45,ITM2A,,,,,,,,,,,,,,,,,,,,MAP1LC3B,,,,,,,,
46,TNFRSF13C,,,,,,,,,,,,,,,,,,,,ANXA2,,,,,,,,
47,GAS2L1,,,,,,,,,,,,,,,,,,,,KLRG1,,,,,,,,
48,MIAT,,,,,,,,,,,,,,,,,,,,HSP90AA1,,,,,,,,
49,PIK3IP1,,,,,,,,,,,,,,,,,,,,DERA,,,,,,,,
50,TSC22D3,,,,,,,,,,,,,,,,,,,,HIST1H2BK,,,,,,,,
51,MIR222HG,,,,,,,,,,,,,,,,,,,,APLP2,,,,,,,,
52,OSM,,,,,,,,,,,,,,,,,,,,PGD,,,,,,,,
53,FLNA,,,,,,,,,,,,,,,,,,,,ZEB2,,,,,,,,
54,PARVB,,,,,,,,,,,,,,,,,,,,PPP2R5C,,,,,,,,
55,TTC38,,,,,,,,,,,,,,,,,,,,ROCK2,,,,,,,,
56,BEX3,,,,,,,,,,,,,,,,,,,,TUBA1A,,,,,,,,
57,APOBEC3A,,,,,,,,,,,,,,,,,,,,HIST1H3H,,,,,,,,
58,MT-ND6,,,,,,,,,,,,,,,,,,,,TSC22D1,,,,,,,,
59,PGRMC1,,,,,,,,,,,,,,,,,,,,PILRA,,,,,,,,
60,SAT1,,,,,,,,,,,,,,,,,,,,EVA1B,,,,,,,,
61,RBM3,,,,,,,,,,,,,,,,,,,,HSPH1,,,,,,,,
62,SH2D1A,,,,,,,,,,,,,,,,,,,,PTPN18,,,,,,,,
63,POLR3H,,,,,,,,,,,,,,,,,,,,NPC2,,,,,,,,
64,BEX4,,,,,,,,,,,,,,,,,,,,RAB32,,,,,,,,
65,Z93241.1,,,,,,,,,,,,,,,,,,,,CRIP1,,,,,,,,
66,TIMP1,,,,,,,,,,,,,,,,,,,,TNFAIP2,,,,,,,,
67,H1F0,,,,,,,,,,,,,,,,,,,,PCED1B-AS1,,,,,,,,
68,NR4A1,,,,,,,,,,,,,,,,,,,,PRKAR2B,,,,,,,,
69,DOCK5,,,,,,,,,,,,,,,,,,,,LYAR,,,,,,,,
70,C9orf72,,,,,,,,,,,,,,,,,,,,KCTD12,,,,,,,,
71,GNG11,,,,,,,,,,,,,,,,,,,,ETFA,,,,,,,,
72,SMAD7,,,,,,,,,,,,,,,,,,,,CD36,,,,,,,,
73,TSPOAP1,,,,,,,,,,,,,,,,,,,,C12orf29,,,,,,,,
74,PRKAR2B,,,,,,,,,,,,,,,,,,,,CAPZA2,,,,,,,,
75,DNMBP,,,,,,,,,,,,,,,,,,,,BCKDHB,,,,,,,,
76,CITED2,,,,,,,,,,,,,,,,,,,,NCF1,,,,,,,,
77,PF4,,,,,,,,,,,,,,,,,,,,HVCN1,,,,,,,,
78,TTN,,,,,,,,,,,,,,,,,,,,GIMAP7,,,,,,,,
79,SPHK1,,,,,,,,,,,,,,,,,,,,PSTPIP2,,,,,,,,
80,CCL5,,,,,,,,,,,,,,,,,,,,S100A8,,,,,,,,
81,CD226,,,,,,,,,,,,,,,,,,,,MPP7,,,,,,,,
82,NFKBIA,,,,,,,,,,,,,,,,,,,,FYB1,,,,,,,,
83,BACH2,,,,,,,,,,,,,,,,,,,,SNAP23,,,,,,,,
84,RGS9,,,,,,,,,,,,,,,,,,,,PLPP5,,,,,,,,
