,B cells->B cells->B cells[0_0],B cells->B cells->B cells[0_1],B cells->B cells->B cells[0_2],B cells->B cells->B cells[0_3],B cells->B cells->B cells[0_6],B cells->B cells->B cells[0_7],B cells->B cells->B cells[0_9],B cells->B cells->B cells[0_10],CD14+Mono->CD14+Mono->CD14+Mono[1_0],CD14+Mono->CD14+Mono->CD14+Mono[1_1],CD14+Mono->CD14+Mono->CD14+Mono[1_4],CD14+Mono->CD14+Mono->CD14+Mono[1_6],CD14+Mono->CD14+Mono->CD14+Mono[1_7],CD14+Mono->CD14+Mono->CD14+Mono[1_8],CD14+Mono->CD14+Mono->CD14+Mono[1_11],CD14+Mono->CD14+Mono->CD14+Mono[1_13],CD4+T->CD4+T->CD4+T[2_0],CD4+T->CD4+T->CD4+T[2_1],CD4+T->CD4+T->CD4+T[2_3],CD4+T->CD4+T->CD4+T[2_4],CD4+T->CD4+T->CD4+T[2_6],CD4+T->CD4+T->CD4+T[2_7],CD4+T->CD4+T->CD4+T[2_8],CD4+T->CD4+T->CD4+T[2_9]
0,PRAM1,AL627171.2,UXS1,ADRB2,PPIF,PREP,GNG7,ROCK2,ID1,HLA-DMB,GNG7,IKZF3,ROCK2,RPL5,NCF1,HBEGF,CFD,ZFAND1,AL138963.4,SAMHD1,BCL3,SOCS3,RAB37,TUBA1A
1,SESN2,FOSL2,ZFP36L1,IRF1,TIMP2,CD247,RPLP0,CGRRF1,CD69,HLA-DPA1,IL7R,CD247,AGPAT5,RPL30,FOSL2,MAP3K8,GIMAP7,ARID5B,NET1,GART,COL6A2,AC253572.2,F13A1,AC103591.3
2,CCNL1,RETREG1,TACC3,TOB1,BCL2A1,ARL3,RPL4,S100A8,GZMH,CSF1R,PPBP,NELL2,TRMT10B,HNRNPA1,TNFAIP3,IER3,CD47,P2RX5,SESN1,SPSB2,TMIGD2,PSTPIP2,GSN,ZFP36
3,SLA2,NFATC2,SESN3,GADD45B,PILRA,MARCH1,S100A12,PYHIN1,RORA,TXNIP,RAB37,TSPAN33,COL6A2,RPL26,PLXDC2,ABCA1,CNBP,ANK3,CCNL1,RORA,LILRA5,ODF3B,SPIB,PPP1R15A
4,LINC00861,TBPL1,FGR,CD300E,MCL1,ARHGAP15,TPM1,TNNT1,PRF1,HLA-DRB5,AC127502.2,CLIC3,AC008875.3,RPS23,AMD1,PDE4B,CD247,GLUL,HIF1A,CLIC3,CD300E,BCL2,FCN1,IER2
5,AC007952.4,PTGS1,ITPR1,FCN1,IFIT3,CLIC3,PTK2,CD5,CST7,CD74,TRAC,CD2,FCMR,PABPC1,OTUD1,PNP,CD27,PDCD10,RHOH,LRRC14,PLAUR,DNAJB1,CIITA,SYNGR1
6,RGS2,AQP3,CORO1C,HCAR3,SGK1,CD163,BCL3,ISG15,HIP1R,HLA-DRA,KLRC4,NFATC2,CD96,SLC25A6,LRRFIP1,VEGFA,PARVB,ACTB,ZSWIM6,GAPDH,KLF2,,MXRA7,SOX4
7,CD3E,PF4,TLE5,PHLDA1,TIPARP,CD2,VCAN,BCL2L1,RBM38,TGFBI,TP53INP1,GZMA,PGRMC1,MIR222HG,BCL2A1,PLIN2,PRF1,CD3E,TNFAIP2,STXBP2,LILRB3,,LYN,TRAF1
8,LIMS1,STAT4,NPC2,KLF6,FGL2,GZMA,FGFBP2,MNDA,TUBA1C,HLA-DMA,ETS1,FCRL1,CD24,ATP6V0B,CCNL1,G0S2,CD96,HSPA1B,AREG,GP1BB,PLD4,,MPIG6B,CCL3
9,BBC3,EXD3,EVL,PLK3,DUSP1,EVA1B,RORA,HIST1H1D,CD5,LSP1,CD40LG,SYNE2,SLC40A1,RPL10A,HK2,SEMA6B,VSIR,AP1S2,CSKMT,LINC01409,SERPINB2,,TST,FOS
10,STX11,BTG1,OSBPL5,CAMK4,LEPROTL1,ARPC3,MYC,DAAM1,GADD45G,IL32,LRRC14,SYNGR1,RGP1,CD52,MCL1,PHLDA1,SPOCK2,IFITM3,ZFAND5,CLEC2D,AC015912.3,,SNCA,HBB
11,SWI5,EREG,LINC00937,CXCL2,IER5,SAMD3,GNPTAB,SLC25A37,SPOCK2,NCK2,ICOS,RHOH,CAVIN2,RPS8,ATP2B1-AS1,IL1B,TTC38,TRAT1,ZNF516,TPM4,RIN2,,MARCH2,AC011446.2
12,F11R,SQLE,CD74,HSPB1,CD36,TRABD2A,PLXDC2,BCL11B,TRAF4,PYHIN1,FHL1,RCAN3,SNHG14,ZYX,DDX5,PLK3,ZAP70,UBE2F,P2RX1,IMPA2,,,ABCA2,AC020916.1
13,CNIH4,CD151,CMC1,AC015912.3,DDIT4,CCR7,SNHG29,CCZ1,MYBL1,SESN3,RIC3,ANK3,MYOM2,LAPTM5,ETV6,BTG1,ERAP1,KIF2A,CLK1,ZBP1,,,,PMAIP1
14,PYGL,UBC,SLC25A39,,ABCA2,CLEC2D,KLRK1,HOPX,TLE1,CD19,KLF12,ZAP70,NRGN,H3F3A,SGK1,GRASP,PDE4D,IFITM1,PNRC1,HSD17B8,,,,
15,CD28,CSTA,RACK1,,,ARHGDIB,LRRFIP1,SEPTIN11,TBX21,ARHGAP15,MAGED2,SH2D1A,CLEC2D,NPM1,TPM4,ALOX5AP,LINC02384,CEMIP2,STK17A,MYH9,,,,
16,YBX3,RPS20,ALDH2,,,PDCD10,RAC1,CRIP1,SOCS1,MT-CYB,INAFM2,PCED1B-AS1,ZBTB38,RPS3A,ELF1,,ARPC1B,CD3D,LINC00926,NLRC3,,,,
