,HSCs->HSCs->HSCs->HSCs[0_0],HSCs->HSCs->HSCs->MKP[2_0],HSCs->HSCs->MKP->MKP[3_0],HSCs->LMPPs->LMPPs->MKP[4_0],HSCs->LMPPs->MKP->MKP[5_0],EryP->EryP->EryP->EryP[6_0],EryP->EryP->LMPPs->LMPPs[7_0],EryP->EryP->EryP->LMPPs[8_0],EryP->EryP->LMPPs->MKP[9_0],MKP->MKP->LMPPs->LMPPs[10_0],MKP->MKP->LMPPs->MKP[11_0],MKP->MKP->MKP->MKP[12_0],eosiP->LMPPs->LMPPs->LMPPs[13_0],eosiP->LMPPs->LMPPs->MKP[14_0],eosiP->LMPPs->MKP->MKP[15_0],LMPPs->LMPPs->LMPPs->LMPPs[16_0],LMPPs->MKP->LMPPs->LMPPs[17_0],LMPPs->LMPPs->LMPPs->MKP[18_0],LMPPs->LMPPs->MKP->MKP[19_0],LMPPs->MKP->LMPPs->MKP[20_0],LMPPs->MKP->MKP->MKP[21_0],MYP->EryP->EryP->EryP[22_0],MYP->EryP->LMPPs->LMPPs[23_0],MYP->EryP->EryP->LMPPs[24_0],MYP->MYP->MYP->MYP[25_0],MYP->MYP->MYP->MKP[26_0],MYP->EryP->LMPPs->MKP[27_0],MYP->MYP->EryP->EryP[28_0],MYP->MYP->EryP->LMPPs[29_0],eosiP->MKP->LMPPs->MKP[30_0],eosiP->MKP->MKP->MKP[31_0],eosiP->MKP->EryP->EryP[32_0],eosiP->MKP->LMPPs->LMPPs[33_0],eosiP->MKP->EryP->LMPPs[34_0],MKP->LMPPs->LMPPs->MKP[35_0],MKP->LMPPs->MKP->MKP[36_0],MKP->EryP->LMPPs->MKP[37_0],MKP->MKP->EryP->EryP[38_0],MKP->EryP->EryP->EryP[39_0],MKP->MKP->EryP->LMPPs[40_0],MKP->LMPPs->LMPPs->LMPPs[41_0],MKP->EryP->EryP->LMPPs[42_0],MKP->EryP->LMPPs->LMPPs[43_0],LMPPs->MKP->EryP->EryP[44_0],LMPPs->MKP->EryP->LMPPs[45_0]
0,Ptrf,Ptrf,Grasp,Crip1,Crip1,Lig1,Crip1,Crip1,Crip1,Crip1,Crip1,Emilin2,Lig1,Lig1,Lig1,Crip1,Crip1,Crip1,Crip1,Crip1,Crip1,Lig1,Lig1,Lig1,Ptrf,Ptrf,Lig1,Lig1,Lig1,Lig1,Lig1,Lig1,Lig1,Lig1,Crip1,Crip1,Crip1,Lig1,Lig1,Crip1,Crip1,Crip1,Crip1,Lig1,Crip1
1,Grasp,Grasp,Grik5,Lig1,Lig1,Paip2,Lig1,Lig1,Lig1,Lig1,Lig1,Cebpa,Paip2,Paip2,Paip2,Lig1,Lig1,Lig1,Lig1,Lig1,Lig1,Paip2,Paip2,Paip2,Lpcat2,Flywch2,Paip2,Ybx1,Ybx1,Paip2,Paip2,Paip2,Paip2,Paip2,Lig1,Lig1,Lig1,Paip2,Paip2,Lig1,Lig1,Lig1,Lig1,Paip2,Lig1
2,Grik5,Grik5,Nkx2-3,Paip2,Paip2,Ybx1,Paip2,Paip2,Paip2,Paip2,Paip2,Myb,Ybx1,Ybx1,Ybx1,Paip2,Paip2,Paip2,Paip2,Paip2,Paip2,Ybx1,Ybx1,Ybx1,Flywch2,Insl6,Ybx1,Mcm3,Mcm3,Ybx1,Ybx1,Ybx1,Ybx1,Ybx1,Paip2,Paip2,Paip2,Ybx1,Ybx1,Paip2,Paip2,Paip2,Paip2,Ybx1,Paip2
3,Nkx2-3,Nkx2-3,Nceh1,Myl12b,Myl12b,Mcm3,Ybx1,Ybx1,Ybx1,Myl12b,Myl12b,Msn,Mcm3,Mcm3,Mcm3,Myl12b,Myl12b,Myl12b,Myl12b,Myl12b,Myl12b,Mcm3,Mcm3,Mcm3,Insl6,Cbfa2t3,Mcm3,Anp32b,Anp32b,Mcm3,Mcm3,Mcm3,Mcm3,Mcm3,Myl12b,Myl12b,Ybx1,Mcm3,Mcm3,Myl12b,Myl12b,Ybx1,Ybx1,Mcm3,Myl12b
4,Gucy1a3,Nceh1,Serpinb6a,Mcm3,Mcm3,Vamp5,Mcm3,Mcm3,Mcm3,Mcm3,Mcm3,Lpcat2,Tmbim6,Tmbim6,Tmbim6,Mcm3,Mcm3,Mcm3,Mcm3,Mcm3,Mcm3,Anp32b,Anp32b,Anp32b,H1f0,Arhgap32,Anp32b,Rps17,Rps17,Tmbim6,Tmbim6,Tmbim6,Tmbim6,Tmbim6,Mcm3,Mcm3,Mcm3,Tmbim6,Tmbim6,Mcm3,Mcm3,Mcm3,Mcm3,Tmbim6,Mcm3
5,Nceh1,Pcmtd2,Alcam,Ybx1,Ybx1,Anp32b,Anp32b,Tmbim6,Anp32b,Ybx1,Ybx1,Galnt6,Anp32b,Anp32b,Anp32b,Ybx1,Ybx1,Ybx1,Ybx1,Ybx1,Ybx1,Rps17,Rps17,Rps17,Cbfa2t3,Fam213a,Rps17,Rps24,Rps24,Anp32b,Anp32b,Anp32b,Anp32b,Anp32b,Ybx1,Ybx1,Tmbim6,Anp32b,Anp32b,Ybx1,Ybx1,Tmbim6,Tmbim6,Anp32b,Ybx1
6,Serpinb6a,Serpinb6a,Gm16141,Tmbim6,Tmbim6,Prdx6,Prdx6,Anp32b,Prdx6,Tmbim6,Tmbim6,Ccl9,Prdx6,Prdx6,Prdx6,Tmbim6,Tmbim6,Tmbim6,Tmbim6,Tmbim6,Tmbim6,Rps24,Rps24,Rps24,Arhgap32,Maml3,Rps24,Snrpf,Snrpf,Prdx6,Prdx6,Prdx6,Prdx6,Prdx6,Tmbim6,Tmbim6,Anp32b,Prdx6,Prdx6,Tmbim6,Tmbim6,Anp32b,Anp32b,Prdx6,Tmbim6
7,Pcmtd2,Alcam,Il2rg,Anp32b,Anp32b,Rps17,Rps17,Prdx6,Rps17,Anp32b,Anp32b,Fam46a,Rps17,Rps17,Rps17,Anp32b,Anp32b,Anp32b,Anp32b,Anp32b,Anp32b,Snrpf,Snrpf,Snrpf,Maml3,Letm2,Snrpf,Rpl39,Rpl39,Rps17,Rps17,Rps17,Rps17,Rps17,Anp32b,Anp32b,Prdx6,Rps17,Rps17,Anp32b,Anp32b,Prdx6,Prdx6,Rps17,Anp32b
8,Alcam,Gm16141,Flywch2,Prdx6,Prdx6,Rps24,Rps24,Rps17,Rps24,Prdx6,Prdx6,Cd55,Rps24,Rps24,Rps24,Prdx6,Prdx6,Prdx6,Prdx6,Prdx6,Prdx6,Rpl39,Rpl39,Rpl39,H2-Oa,Npdc1,Rpl39,Npm1,Npm1,Rps24,Rps24,Rps24,Rps24,Rps24,Prdx6,Prdx6,Rps17,Rps24,Rps24,Prdx6,Prdx6,Rps17,Rps17,Rps24,Prdx6
9,Gm16141,Flywch2,Gimap6,Rps17,Rps17,Snrpf,Snrpf,Rps24,Snrpf,Rps17,Rps17,Cst7,Snrpf,Snrpf,Snrpf,Rps17,Rps17,Rps17,Rps17,Rps17,Rps17,Npm1,Npm1,Npm1,Letm2,Nfkbiz,Npm1,Rps9,Fth1,Snrpf,Snrpf,Snrpf,Snrpf,Snrpf,Rps17,Rps17,Rps24,Snrpf,Snrpf,Rps17,Rps17,Rps24,Rps24,Snrpf,Rps17
