,1-Neurons->1-Neurons->1-Neurons->1-Neurons[0_0],3-APs/RPs->3-APs/RPs->3-APs/RPs->3-APs/RPs[1_0],3-APs/RPs->3-APs/RPs->5-APs/RPs->3-APs/RPs[2_0],3-APs/RPs->5-APs/RPs->5-APs/RPs->3-APs/RPs[4_0],3-APs/RPs->5-APs/RPs->3-APs/RPs->3-APs/RPs[5_0],3-APs/RPs->5-APs/RPs->3-APs/RPs->1-Neurons[6_0],5-APs/RPs->3-APs/RPs->5-APs/RPs->3-APs/RPs[9_0],5-APs/RPs->5-APs/RPs->5-APs/RPs->3-APs/RPs[10_0],5-APs/RPs->5-APs/RPs->3-APs/RPs->3-APs/RPs[11_0],5-APs/RPs->3-APs/RPs->3-APs/RPs->1-Neurons[12_0],5-APs/RPs->5-APs/RPs->3-APs/RPs->1-Neurons[13_0],6-Young neurons->1-Neurons->1-Neurons->1-Neurons[14_0],6-Young neurons->2-Young neurons->1-Neurons->1-Neurons[15_0],7-IPs->4-IPs->4-IPs->4-IPs[17_0],4-IPs->4-IPs->4-IPs->4-IPs[18_0]
0,Sox4,Pnn,Mysm1,Nbea,Pnn,Mphosph9,Cdkn1c,Nbea,Ppap2b,Rnd2,Mphosph9,Ccdc88a,Rbm25,Fam193b,Baz2b
1,Stmn4,Ddah1,Golga1,Usp16,Ddah1,Usp16,9330159F19Rik,Hook3,Pnn,Usp16,Smarca1,Stmn4,Ccdc88a,Suco,Dpysl3
2,Hist3h2ba,Hmgn3,Nbea,Hook3,Hmgn3,Smarca1,Usp16,Lig3,Hmgn3,Plcb1,Celsr2,Hist3h2ba,Stmn4,Dvl1,Tbr1
3,Dpysl3,Fabp7,Pik3r1,Lig3,Fabp7,Celsr2,Rwdd3,Suco,Fabp7,Fam135a,Asxl3,Dpysl3,Hist3h2ba,Tram1,Cntn2
4,Pcsk1n,Prdx6,Usp16,Rad50,Hsp90b1,Fam135a,Herc1,Rai14,Hsp90b1,Dzip1,Arhgef25,Nasp,Dpysl3,Hectd1,Thra
5,Slc25a5,Hsp90b1,Lig3,Flrt3,Prdx6,Flrt3,Cntn2,Tfcp2,Prdx6,Snap25,Suco,Neurod2,Nasp,Pcnt,Neurod2
6,Map2,Vim,Rwdd3,Rwdd3,Cntnap2,Arhgef25,Tram1,Parg,Cntnap2,Nemf,Specc1l,Thra,Neurod2,B230354K17Rik,Hsp90b1
7,Tmsb10,Gm3764,Suco,Suco,Vim,Suco,Ankrd10,Pibf1,Vim,Ankrd10,Ubr1,Anp32e,Thra,Dgcr8,Map2
8,Cd24a,Kif21a,Herc1,Utp23,Gm3764,Utp23,C530008M17Rik,Arhgap21,Gm3764,Gpatch1,Tmem2,Map2,Anp32e,Ankrd11,Tmsb10
9,Tuba1a,Dbi,Rai14,Rdh11,Kif21a,Specc1l,Hes6,Map7d2,Kif21a,Rnd3,Golga5,Tmsb10,Map2,Cep290,Tuba1a
10,Dcx,Nes,Acvr2a,Herc1,H1f0,Dixdc1,Wwc1,Plxna2,H1f0,Myt1,Ank3,Tuba1a,Tmsb10,Arhgap21,Cd24a
11,Fnbp1l,Id4,Tfcp2,Rai14,Dbi,Ubr1,Osbpl11,Xpr1,Dbi,Synj1,Tnrc18,Cd24a,Tuba1a,Madd,Mycbp2
12,Stmn2,Sfrp1,Zfp518b,Tfcp2,Nes,Tmem2,Asun,Ttc28,Alcam,Trio,Chd9,Fnbp1l,Cd24a,Dnajc21,Meis2
13,Mapt,Hspa5,Srgap3,Dixdc1,Id4,Golga5,Gprasp2,Zswim6,Nes,Swt1,Zfp946,Htatsf1,Fnbp1l,Wdfy1,Dcx
14,Celf4,Arhgap5,Pibf1,Parg,Sfrp1,Tnrc18,Arhgap12,Birc6,Id4,Zfp292,Slu7,Stmn2,Htatsf1,Dab1,Fnbp1l
15,Stmn3,Rgcc,Ankrd10,Pibf1,Hspa5,Chd9,Wdfy1,Chd2,Sfrp1,Sorbs2,Napg,Mapt,Stmn2,Rrbp1,Stmn2
