,1-Neurons->1-Neurons->1-Neurons->1-Neurons[0_0],2-Young neurons->1-Neurons->1-Neurons->1-Neurons[1_0],3-APs/RPs->3-APs/RPs->3-APs/RPs->1-Neurons[2_0],3-APs/RPs->5-APs/RPs->3-APs/RPs->1-Neurons[3_0],3-APs/RPs->5-APs/RPs->5-APs/RPs->3-APs/RPs[4_0],3-APs/RPs->3-APs/RPs->3-APs/RPs->3-APs/RPs[5_0],3-APs/RPs->5-APs/RPs->3-APs/RPs->3-APs/RPs[6_0],5-APs/RPs->5-APs/RPs->3-APs/RPs->1-Neurons[7_0],5-APs/RPs->3-APs/RPs->3-APs/RPs->1-Neurons[8_0],5-APs/RPs->5-APs/RPs->5-APs/RPs->3-APs/RPs[9_0],5-APs/RPs->5-APs/RPs->3-APs/RPs->3-APs/RPs[10_0],5-APs/RPs->3-APs/RPs->3-APs/RPs->3-APs/RPs[11_0],6-Young neurons->1-Neurons->1-Neurons->1-Neurons[12_0],6-Young neurons->2-Young neurons->1-Neurons->1-Neurons[13_0],4-IPs->4-IPs->4-IPs->4-IPs[14_0],7-IPs->4-IPs->4-IPs->4-IPs[15_0]
0,Tnrc6b,Rtn1,Pcdh9,Igfbpl1,Qk,Rsrc1,Igfbpl1,Rai14,Dzip3,Dbi,Pam,Rsrc1,Ttc13,Rtn1,Rprm,Rtn1
1,Atp1b1,Mapt,Tmem57,Enc1,Ddah1,Pam,9330159F19Rik,Jrkl,Sox5,Sox9,Jrkl,Pam,Napg,Mapt,Cd63,Igfbpl1
2,Wdfy1,Nrxn1,Igsf8,Map2,Jun,Setx,Thra,Jmjd1c,Trnt1,Mid1ip1,Wnk3,Jrkl,Arhgap21,Map1b,Eif1b,Map1b
3,A230046K03Rik,Map1b,Tmem176b,Soga3,Fabp7,Jrkl,Cmip,Vps4b,Acvr2a,H1f0,Dgcr8,A230046K03Rik,Cd63,Ccdc88a,Lrrn3,Meis2
4,Mex3d,Smarca2,Zfp711,9330159F19Rik,Chd6,A230046K03Rik,Tubb3,Zfyve16,Zfp292,Id4,Zfyve16,Dgcr8,Mt3,Thra,Dbi,Celf2
5,Cd63,Gap43,Lhfpl4,Neurod2,Dbi,Dgcr8,Nrep,Map9,Actr6,Kif21a,Ercc6,Zfyve16,Lemd2,Gap43,Rab8b,Tubb3
6,BC005561,Dab1,Clvs1,Stmn4,Sox9,Zfyve16,Nsg2,Lig3,Golga4,Nes,Rif1,Erbb2ip,Mysm1,Celf2,Chd7,Nrep
7,Nop14,Tubb3,Nrcam,Thra,Mid1ip1,Erbb2ip,Aplp1,Kri1,Alcam,Hmgn3,Kri1,Ercc6,Rif1,Tubb3,Slc25a5,Nnat
8,Pard3,Atrx,Dvl1,Crmp1,H1f0,Ercc6,Dpysl3,Gfod2,Zkscan3,Pea15a,Gfod2,Slc16a2,Zfp740,Atrx,Dcaf8,Nsg2
9,Sox9,Hist3h2ba,Herc2,Tgfbr1,Id4,Slc16a2,BC005764,Jhdm1d,BC005561,Ppap2b,Zfp711,Kri1,Mfn1,Hist3h2ba,Syne2,Sox4
10,Rif1,Rabgap1l,Slc17a6,Tubb3,Kif21a,Kri1,Neurod2,Parg,Dnajc1,Vim,2700049A03Rik,Mfn1,Rufy1,Nrep,Hes6,Dpysl3
11,Taf1,Nsg2,Fos,Nrep,Nes,Mfn1,Stmn4,Nrcam,Sass6,Malat1,Hba-a1,2700049A03Rik,Dnajb12,Nsg2,Mdk,Kat6b
12,Zfp740,Aplp1,,Nsg2,Hmgn3,Chd7,Elavl2,E4f1,Ftsj3,Sox2,D14Abb1e,Zfp608,Dnmt3a,Rbm25,Neurog2,Dcx
13,Pcf11,Pcsk1n,,Aplp1,Pea15a,Rrbp1,Mycbp2,Exog,Kat6b,Stox2,Ttc19,Ttc19,Sass6,Sox4,Rdx,C530008M17Rik
14,Ube4b,Dcx,,Dpysl3,Fgfbp3,2700049A03Rik,Srrm3,Ankhd1,,Ttyh1,Tfcp2,Tfcp2,Rrm2,Dpysl3,Vps37b,Fnbp1l
15,Tmem176b,Fnbp1l,,Neurod6,Ppap2b,Zfp608,Map2,Socs2,,Cdkn1b,Trmt13,Jhdm1d,Parg,Dcx,Igsf8,Myt1l
16,Cdkn2aip,Kmt2e,,,Vim,Ttc19,Crmp1,Tbce,,Hspa5,Sacs,Ttf1,Ash1l,Fnbp1l,Tead2,Neurod2
17,Zdhhc17,Sptbn1,,,Malat1,Tfcp2,Chga,Wdr60,,Psat1,Jhdm1d,Exog,Rad50,Tuba1a,Mpdz,Tuba1a
18,Lig1,Tuba1a,,,Sox2,Nol8,Soga3,B230354K17Rik,,Tead2,Parg,Herc2,Ogfrl1,Kif5c,Prdx6,Akap9
19,Lhfpl4,Foxp1,,,Ptn,Jhdm1d,Olfm1,Slc17a6,,mt-Rnr2,Ttf1,Dnajc21,Sdccag8,Map2,Gadd45g,mt-Nd5
20,Actr6,Stmn4,,,Stox2,Ttf1,Lmo4,Ankrd17,,Sfrp1,Exog,4933411K20Rik,Vps37b,Tmsb10,Pak3,Map2
21,Id4,Atp2b1,,,Ttyh1,Exog,Neurod6,Fktn,,Prdx6,Mlh3,Sdccag8,Sox2,Stmn3,Serpinh1,Fmnl2
22,Smc2,mt-Nd5,,,Cdkn1b,Cdk5rap2,,Fam193b,,Gm3764,Herc2,Sgce,Rlf,Stmn2,Btg2,Tmsb10
23,Rbbp6,Kif5c,,,Hspa5,4933411K20Rik,,2210018M11Rik,,Ckb,Dnajc21,Bicd1,Ankrd17,Crmp1,Ckb,Alcam
24,Hba-a1,Tmsb10,,,Psat1,Sdccag8,,Eif2s3y,,Sept11,Ankhd1,L3mbtl3,Miat,Soga3,Smc4,Stmn3
25,Mllt10,Stmn3,,,Tead2,Sgce,,Fut9,,,Rwdd4a,Slc17a6,Slu7,Tubb2a,Mfap2,Stmn2
26,Rock2,Stmn2,,,mt-Rnr2,Bicd1,,Trmt1,,,4933411K20Rik,Pcdh9,Klc4,Gdap1,,Crmp1
27,Fsd1l,Crmp1,,,Sfrp1,L3mbtl3,,Mllt6,,,Zcchc6,Tmem57,Ing3,mt-Rnr2,,Malat1
28,Dnmt3a,mt-Rnr1,,,Prdx6,Col11a1,,Ercc6,,,Tbce,Col11a1,Birc6,Eif5b,,Tbr1
29,Sass6,Soga3,,,Gm3764,Gnpda2,,Armcx4,,,Jarid2,Gnpda2,Mex3d,Tmsb4x,,Cntn2
30,Rrm2,Tubb2a,,,Ckb,Fam63a,,Golga3,,,N6amt1,Fam63a,Zfp711,Cd24a,,Tcf4
31,Mest,mt-Rnr2,,,Sept11,,,Zeb1,,,B230354K17Rik,Zfp711,Atad2b,Ckb,,Sorbs2
32,Ankrd26,Tmsb4x,,,,,,Hba-a1,,,Bicd1,,Ubn2,,,Ptprs
33,Tmem2,Cd24a,,,,,,Ttc19,,,L3mbtl3,,,,,Tmsb4x
34,2810474O19Rik,Ckb,,,,,,Sacs,,,Slc17a6,,,,,Itm2b
35,Trnt1,,,,,,,Mlh3,,,Irak1,,,,,Cd24a
36,Pcna,,,,,,,Fam13b,,,Cep250,,,,,Gm3764
37,Chd9,,,,,,,Rwdd4a,,,Cwf19l2,,,,,Neurod6
38,Fmnl2,,,,,,,Zfp827,,,Fam193b,,,,,Baz2b
39,Ankhd1,,,,,,,Cwf19l2,,,2210018M11Rik,,,,,
40,Ccdc66,,,,,,,Asun,,,Fut9,,,,,
41,Slc4a1ap,,,,,,,Rdh11,,,,,,,,
42,4933411K20Rik,,,,,,,Herc2,,,,,,,,
43,Vps37b,,,,,,,Ankib1,,,,,,,,
44,Fam135a,,,,,,,Fndc3a,,,,,,,,
45,Sox2,,,,,,,Lrrcc1,,,,,,,,
46,Dot1l,,,,,,,Efnb3,,,,,,,,
47,Smc4,,,,,,,Dgcr8,,,,,,,,
48,Rsbn1l,,,,,,,Dnajc13,,,,,,,,
49,Dnajc1,,,,,,,Cdkn2aip,,,,,,,,
50,Rlf,,,,,,,Zfp609,,,,,,,,
51,Cxxc5,,,,,,,D14Abb1e,,,,,,,,
52,Cpne3,,,,,,,Rufy2,,,,,,,,
53,Cep290,,,,,,,Sec11c,,,,,,,,
54,Miat,,,,,,,Ttf1,,,,,,,,
55,Dixdc1,,,,,,,Map3k7,,,,,,,,
56,Fktn,,,,,,,Tubgcp5,,,,,,,,
57,Rere,,,,,,,Dnajc21,,,,,,,,
58,Lrrc16b,,,,,,,Rrnad1,,,,,,,,
59,Tead2,,,,,,,Rwdd3,,,,,,,,
60,Mpdz,,,,,,,Clvs1,,,,,,,,
61,Numa1,,,,,,,Hectd1,,,,,,,,
62,Arhgap5,,,,,,,Zcchc6,,,,,,,,
63,Ccnd2,,,,,,,Dpy19l1,,,,,,,,
64,Pura,,,,,,,Ttc14,,,,,,,,
