,B cells->B cells->B cells[0_0],B cells->B cells->B cells[0_1],B cells->B cells->B cells[0_3],B cells->B cells->B cells[0_4],B cells->B cells->B cells[0_6],CD4+T->CD4+T->CD4+T[3_1],CD4+T->CD4+T->CD4+T[3_2],CD4+T->CD4+T->CD4+T[3_3],CD4+T->CD4+T->CD4+T[3_5],CD4+T->CD4+T->CD4+T[3_6]
0,OASL,AHNAK,IRF8,CSTA,ASAH1,RPL4,CFD,FFAR2,AL627171.2,IRF8
1,CD69,NAP1L1,RPL18A,PIP4P2,RPL5,JAML,METRNL,AL138963.4,CD69,KLRF1
2,C1orf21,RPS20,CRISPLD2,KLRF1,RPS27A,SAMHD1,ANPEP,PTK2,PRAM1,FGFBP2
3,IRAK3,GZMH,PRF1,ANPEP,ELF1,IGHD,PTPN12,BCL3,CLEC7A,C19orf38
4,SPIB,FGFBP2,RPL26,CLEC12A,HCAR3,MICAL3,NFE2,TUBA1A,TP53INP1,CLEC12A
5,CSF1R,MARCH1,CD24,CLEC4E,SLC25A39,ZFAND1,MPEG1,IRF1,JUND,SLC8A1
6,CCNL1,SLC8A1,JCHAIN,LAG3,RPL35A,IL7R,HLA-DOB,SAP30,IER2,RNF144B
7,ATP2B1-AS1,C9orf72,RPS18,TNFSF9,CDK2AP1,CD27,GNG11,MYC,RIC3,RPS3
8,KLRB1,GAPDH,HSPH1,GNLY,TKT,RETREG1,ITGAX,BHLHE40,HK2,MAF
9,DDIT3,HK2,ADM,IER5L,DNAJB1,TRGV9,CD300E,BASP1,NFKBIZ,SERPINA1
10,IFIT3,GPR183,RPL10A,TXNIP,NEIL1,IGHM,CRIP2,TUBA1C,BZW1,STX7
11,ALPK1,ARPC3,PLAUR,P2RY13,APMAP,HLA-DMB,ITGA2B,ZFP36,ATP2B1-AS1,RPS5
12,AC253572.2,PECAM1,RGS2,ADGRG1,,CPVL,CD300LB,CD163,CD81,AC020656.1
13,ELMOD3,AOAH,SEMA6B,LINC00937,,KLRK1,PF4,CD22,DDX5,RPL10A
14,IL6ST,NRGN,RPS8,MAFB,,IRAK3,MTURN,NFATC2,IFIT3,AOAH
15,C12orf57,RAB32,NCF2,ZBTB16,,SPIB,PDLIM1,PPP1R15A,CCZ1,CCL3
16,PHLDA1,CD38,C5AR1,DNMBP,,CTSZ,KIF13A,BCL2A1,PHLDA2,ACTB
17,RXRA,GLUL,HHEX,ACTG1,,SMIM25,CD36,SESN1,WDR74,TSPOAP1
18,KLF6,FCN1,NPM1,LYZ,,LINC00944,P2RX1,YES1,RAB30,CX3CR1
19,IGFBP7,SARAF,CD300LB,KCTD12,,PILRA,CCL5,TRAF4,CSKMT,RPS8
20,PTGDS,KCNA3,RPS3A,IL1B,,HSPH1,TMEM176B,DDIT3,KLF2,TSPOAP1-AS1
21,CD83,CLU,RACK1,RAB20,,P2RX5,IGKV3-20,HIF1A,DUSP1,ZBTB16
22,ICAM1,MCUR1,ALDH2,LRP1,,COBLL1,MYL9,RHOH,IFI27,GZMB
23,NFKBIA,LYAR,EIF3K,TMEM176A,,SLC15A4,,ZSWIM6,DIP2A,ACTG1
24,DENND5A,ZNF318,RPS19,OTOF,,PLAUR,,SOX4,GNG2,SPON2
25,PLK2,CITED2,EEF1A1,RPS12,,ARHGDIB,,FOS,SECTM1,LYZ
26,S100P,C12orf75,CHPT1,FCGR3A,,CFL1,,NFKBID,KLF6,B4GALT7
27,PAWR,SPON2,CAPZA2,RPS6,,IMPA2,,IL6ST,AC011446.2,RAB31
28,ABCA2,C12orf76,,RNF130,,ELF1,,ZNF318,LY6E,SERPINB2
29,PYHIN1,AGTRAP,,,,LINC00937,,ZNF516,AC020916.1,EVI2B
30,MIDN,NKG7,,,,AREG,,NINJ1,BTG1,AC015912.3
31,ZFP36,PDLIM1,,,,MEF2C,,PBX4,CCL4,MT1E
32,PELI1,MATK,,,,BCL11A,,ZNF331,DENND5A,RPS19
33,LINC00944,DUSP6,,,,EGR1,,LRRC25,PMAIP1,COTL1
34,MARCKS,AFF3,,,,HIST1H2BN,,TRBC1,JUNB,DNAJB1
35,PLEC,SLC39A3,,,,NLRP12,,RMRP,ZNF296,TUBA4A
36,ANK3,CNST,,,,S100A4,,SQSTM1,EIF4A1,RPS6
37,NPTN,SNX9,,,,C12orf57,,TSHZ2,,LYL1
38,NFKBID,RAP1B,,,,HHEX,,WARS,,
39,HLA-DQA1,SLC11A1,,,,CTSA,,SLC2A3,,
40,CAST,PADI4,,,,C12orf75,,ABCG1,,
41,BAG3,PLPP5,,,,ARPC1B,,RGCC,,
42,NCR3,STAB1,,,,RPS14,,PNRC1,,
43,NRROS,NME2,,,,EIF3K,,HIST1H1C,,
44,CTSH,CDKN1C,,,,MZB1,,TLE3,,
45,ACSL1,FOSL2,,,,NKG7,,BACH2,,
46,LY9,MCTP2,,,,LGALS3,,AC016831.5,,
47,PLEKHO1,CXCR4,,,,CD79A,,FOSB,,
48,PARP15,ITGA2B,,,,CEMIP2,,ADAM28,,
49,ANKRD33B,LST1,,,,BANK1,,ANKRD33B,,
50,GNG7,FAAP100,,,,CTSW,,ABCA1,,
51,RFWD3,ENDOD1,,,,CD3D,,ATP13A3,,
52,METRNL,CD27,,,,PRDM1,,,,
53,LRG1,CD81,,,,PFN1,,,,
54,PTK2,TLN1,,,,CTSH,,,,
55,ARID5B,SAP30,,,,KLF4,,,,
56,LLGL2,CD7,,,,CD63,,,,
57,MYC,RECK,,,,ACSL1,,,,
58,IL4R,RGS10,,,,MTSS1,,,,
59,CD19,PID1,,,,CD300A,,,,
60,CD58,CST3,,,,POU2AF1,,,,
61,ASPH,RPL27A,,,,CD226,,,,
62,BASP1,CRIP1,,,,TALDO1,,,,
63,CD22,AP3M2,,,,TMEM176A,,,,
64,BCL2L1,LEPROTL1,,,,ANXA2,,,,
65,MYO1E,PDE4B,,,,ANKRD28,,,,
66,PPP1R15A,FCGR2A,,,,EZR,,,,
67,HLA-DRB1,CD163,,,,HLA-DMA,,,,
68,HLA-DOB,MARCH2,,,,CLCN3,,,,
69,MAF,DYNLL1,,,,CD8A,,,,
70,STX7,C1orf162,,,,LINC00926,,,,
71,WDR74,GZMA,,,,ITGAL,,,,
72,RELA-DT,BCL11A,,,,HIST1H2AG,,,,
73,FLT3LG,CALHM6,,,,DERA,,,,
74,TSPOAP1-AS1,,,,,BTBD6,,,,
75,SEPTIN1,,,,,CHPT1,,,,
76,CIITA,,,,,OXNAD1,,,,
77,CSKMT,,,,,NIBAN3,,,,
78,MALAT1,,,,,THEMIS,,,,
79,KLF2,,,,,CBLB,,,,
80,IRF2BP2,,,,,PRKCH,,,,
81,RSPRY1,,,,,SETBP1,,,,
82,IFITM3,,,,,PRSS23,,,,
83,NDFIP1,,,,,,,,,
84,MXRA7,,,,,,,,,
85,BLVRB,,,,,,,,,
86,TMEM107,,,,,,,,,
87,CD3D,,,,,,,,,
88,KLF4,,,,,,,,,
89,SPHK1,,,,,,,,,
90,H3F3B,,,,,,,,,
91,RGCC,,,,,,,,,
92,AC015912.3,,,,,,,,,
93,ANKRD28,,,,,,,,,
94,FOSB,,,,,,,,,
95,ITGAL,,,,,,,,,
96,AC007384.1,,,,,,,,,
97,BTBD6,,,,,,,,,
98,CD72,,,,,,,,,
99,CPNE5,,,,,,,,,
100,SQSTM1,,,,,,,,,
